"X" 	"Y"
1.0000000000000001e-05 	0.99990000000000001
0.0001 	0.99939999999999996
0.001 	0.995
0.01 	0.96499999999999997
0.02 	0.93889999999999996
0.029999999999999999 	0.91610000000000003
0.040000000000000001 	0.89539999999999997
0.050000000000000003 	0.87639999999999996
0.059999999999999998 	0.85860000000000003
0.070000000000000007 	0.84189999999999998
0.080000000000000002 	0.82609999999999995
0.089999999999999997 	0.81100000000000005
0.10000000000000001 	0.79669999999999996
0.12 	0.76980000000000004
0.14000000000000001 	0.745
0.16 	0.72189999999999999
0.17999999999999999 	0.70040000000000002
0.20000000000000001 	0.68020000000000003
0.22 	0.66110000000000002
0.23999999999999999 	0.64319999999999999
0.26000000000000001 	0.62619999999999998
0.28000000000000003 	0.61009999999999998
0.29999999999999999 	0.59470000000000001
0.32000000000000001 	0.58009999999999995
0.34000000000000002 	0.56620000000000004
0.35999999999999999 	0.55300000000000005
0.38 	0.5403
0.40000000000000002 	0.52810000000000001
0.45000000000000001 	0.49990000000000001
0.5 	0.47449999999999998
0.55000000000000004 	0.45140000000000002
0.59999999999999998 	0.43030000000000002
0.65000000000000002 	0.41099999999999998
0.69999999999999996 	0.39329999999999998
0.75 	0.377
0.80000000000000004 	0.3619
0.90000000000000002 	0.33489999999999998
1 	0.31159999999999999
1.1000000000000001 	0.29110000000000003
1.2 	0.27310000000000001
1.3 	0.25719999999999998
1.3999999999999999 	0.2429
1.6000000000000001 	0.21859999999999999
1.8 	0.1986
2 	0.18190000000000001
2.5 	0.15010000000000001
3 	0.1278
3.5 	0.11119999999999999
4 	0.098350000000000007
5 	0.079909999999999995
6 	0.067280000000000006
7 	0.058090000000000003
8 	0.0511
9 	0.045620000000000001
10 	0.041189999999999997
